id,name,muscle_primary,equipment,difficulty,modality,population_notes,evidence_notes,contraindications
chest_001,Barbell Bench Press,pectoralis_major_sternal,barbell|bench,intermediate,gym,,,
chest_002,Incline Barbell Bench Press,pectoralis_major_clavicular,barbell|incline_bench,intermediate,gym,,,
chest_003,Incline Dumbbell Press,pectoralis_major_clavicular,dumbbells|incline_bench,beginner,gym,,,
chest_004,Flat Dumbbell Press,pectoralis_major_sternal,dumbbells|flat_bench,beginner,gym,,,
chest_005,Cable Chest Fly Low-to-High,pectoralis_major_clavicular,cable_machine,beginner,gym,,,
chest_006,Dumbbell Chest Fly,pectoralis_major_sternal,dumbbells|flat_bench,beginner,gym,,,
chest_007,Machine Chest Press,pectoralis_major_sternal,chest_press_machine,beginner,gym,"Preferred for elderly, rehab, beginners",,
chest_008,Pec Deck Machine Fly,pectoralis_major,pec_deck_machine,beginner,gym,,,
chest_009,Chest Dips,pectoralis_major_sternal,dip_bars,intermediate,gym,,,shoulder_impingement|AC_joint_injury
chest_010,Push-Up Standard,pectoralis_major_sternal,,beginner,home|hotel|gym|outdoor,,,
chest_011,Decline Push-Up,pectoralis_major_sternal,chair_or_bench,intermediate,home|hotel,,,
chest_012,Resistance Band Chest Fly,pectoralis_major,resistance_band,beginner,home|hotel|travel,,,
chest_013,Incline Push-Up,pectoralis_major_sternal,wall_or_counter_or_bench,beginner,home|hotel|gym|beginner,"Entry point for elderly, obese, very deconditioned",,
chest_014,Wall Push-Up,pectoralis_major,wall,beginner,home|hotel|elderly|rehabilitation,,,
chest_015,Archer Push-Up,pectoralis_major_sternal,,advanced,home|hotel|gym,,,
chest_016,One-Arm Push-Up,pectoralis_major,,advanced,home|hotel|gym,,,
back_001,Barbell Deadlift,erector_spinae|gluteus_maximus|hamstrings,barbell|plates,intermediate,gym,,,acute_lumbar_disc_herniation
back_002,Romanian Deadlift,hamstrings|gluteus_maximus,barbell_or_dumbbells,beginner,gym,,,
back_003,Single-Leg Romanian Deadlift,hamstrings|gluteus_maximus|gluteus_medius,dumbbell_or_kettlebell,intermediate,gym|home,,,
back_004,Dumbbell Romanian Deadlift,hamstrings|gluteus_maximus,dumbbells,beginner,gym|home,,,
back_005,Pull-Up,latissimus_dorsi|teres_major,pull_up_bar,intermediate,gym|home|outdoor,,,
back_006,Assisted Pull-Up,latissimus_dorsi,pull_up_bar|resistance_band,beginner,gym|home,,,
back_007,Lat Pulldown,latissimus_dorsi|teres_major,cable_machine,beginner,gym,,,
back_008,Seated Cable Row,rhomboids|middle_trapezius|latissimus_dorsi,cable_machine,beginner,gym,,,
back_009,Barbell Bent-Over Row,latissimus_dorsi|rhomboids,barbell,intermediate,gym,,,acute_lower_back_strain
back_010,Dumbbell Single-Arm Row,latissimus_dorsi|rhomboids,dumbbell|bench,beginner,gym|home,,,
back_011,Chest-Supported Row,rhomboids|middle_trapezius,incline_bench|dumbbells,beginner,gym,"For lower back pain, elderly",,
back_012,Resistance Band Row,rhomboids|middle_trapezius,resistance_band,beginner,home|hotel|travel,,,
back_013,Face Pull,rear_deltoid|infraspinatus,cable_machine|rope,beginner,gym,Recommended for all populations,,
back_014,Superman Hold,erector_spinae|gluteus_maximus,,beginner,home|hotel|gym|rehabilitation,,,
back_015,Good Morning,hamstrings|gluteus_maximus|erector_spinae,barbell_optional,beginner,gym|home,,,
legs_001,Barbell Back Squat,quadriceps|gluteus_maximus,barbell|squat_rack,intermediate,gym,,,acute_knee_injury
legs_002,Goblet Squat,quadriceps|gluteus_maximus,dumbbell_or_kettlebell,beginner,gym|home|hotel,Best squat tool for all populations,,
legs_003,Dumbbell Front Squat,quadriceps,dumbbells,intermediate,gym,,,
legs_004,Leg Press,quadriceps|gluteus_maximus,leg_press_machine,beginner,gym,Excellent for elderly and lower back issues,,
legs_005,Bulgarian Split Squat,quadriceps|gluteus_maximus,bench,intermediate,gym|home,,,
legs_006,Reverse Lunge,quadriceps|gluteus_maximus,,beginner,gym|home|hotel,Preferred over forward lunge for beginners and elderly,,
legs_007,Bodyweight Squat,quadriceps|gluteus_maximus,,beginner,home|hotel|gym|outdoor|elderly|beginner,,,
legs_008,Box Squat,gluteus_maximus|hamstrings,box_or_chair,beginner,gym|home,Teaching tool; recommended for elderly,,
legs_009,Leg Extension,quadriceps,leg_extension_machine,beginner,gym,,,acute_patellar_tendinopathy|post_ACL_early_phase
legs_010,Leg Curl,hamstrings,leg_curl_machine,beginner,gym,,,
legs_011,Nordic Hamstring Curl,hamstrings,anchor_point,advanced,gym|home,,50% reduction in hamstring strains,
legs_012,Barbell Hip Thrust,gluteus_maximus,barbell|bench,beginner,gym,,"Greatest peak glute activation (Contreras et al., 2015)",
legs_013,Glute Bridge,gluteus_maximus,,beginner,home|hotel|gym|rehabilitation|elderly,,,
legs_014,Standing Calf Raise,gastrocnemius,,beginner,gym|home|hotel|elderly,,,
legs_015,Wall Sit,quadriceps,wall,beginner,home|hotel|office|elderly,,,
legs_016,Step-Up,gluteus_maximus|quadriceps,box_or_step,beginner,gym|home|hotel|elderly,,,
shoulders_001,Barbell Overhead Press,anterior_deltoid|lateral_deltoid,barbell,intermediate,gym,,,shoulder_impingement|rotator_cuff_tear
shoulders_002,Dumbbell Shoulder Press,anterior_deltoid|lateral_deltoid,dumbbells,beginner,gym|home,,,
shoulders_003,Arnold Press,anterior_deltoid|lateral_deltoid,dumbbells,intermediate,gym,,,
shoulders_004,Lateral Raise,lateral_deltoid,dumbbells_or_cables,beginner,gym|home,,,
shoulders_005,Face Pull,rear_deltoid|infraspinatus,cable_machine|rope,beginner,gym,"Critical for all populations, especially office workers",,
shoulders_006,Pike Push-Up,anterior_deltoid|lateral_deltoid,,beginner,home|hotel,Best home-based shoulder press,,
shoulders_007,Rear Delt Fly,rear_deltoid|infraspinatus,dumbbells,beginner,gym|home,,,
shoulders_008,Band Pull-Apart,rear_deltoid|rhomboids,resistance_band,beginner,home|hotel|office|rehab,"Ideal for office workers, elderly, rehabilitation",,
arms_001,Barbell Curl,biceps_brachii,barbell,beginner,gym,,,
arms_002,Dumbbell Curl,biceps_brachii,dumbbells,beginner,gym|home,,,
arms_003,Hammer Curl,brachialis|brachioradialis,dumbbells,beginner,gym|home,,,
arms_004,Resistance Band Curl,biceps_brachii,resistance_band,beginner,home|hotel|travel,,,
arms_005,Preacher Curl,biceps_brachii_long_head,preacher_bench,beginner,gym,,,
arms_006,Close-Grip Bench Press,triceps_brachii,barbell|bench,intermediate,gym,,,
arms_007,Tricep Dips,triceps_brachii,bench_or_dip_bars,beginner,gym|home,,,
arms_008,Skull Crusher,triceps_brachii_long_head,barbell_or_dumbbells|bench,intermediate,gym,,,elbow_tendinopathy_acute
arms_009,Diamond Push-Up,triceps_brachii,,intermediate,home|hotel,Best home-based tricep exercise,,
arms_009_cable,Tricep Pushdown,triceps_brachii,cable_machine,beginner,gym,,,
arms_010,Overhead Tricep Extension,triceps_brachii_long_head,dumbbell_or_cable_or_band,beginner,gym|home,,,
core_001,Plank,transverse_abdominis|rectus_abdominis,,beginner,home|hotel|gym|elderly|rehabilitation|office,,,
core_002,Dead Bug,transverse_abdominis|rectus_abdominis,,beginner,home|hotel|gym|rehabilitation,Excellent for lower back pain,,
core_003,Bird Dog,erector_spinae|gluteus_maximus|transverse_abdominis,,beginner,home|hotel|gym|elderly|rehabilitation,,McGill Big 3,
core_004,Hollow Body Hold,rectus_abdominis|transverse_abdominis,,intermediate,home|hotel|gym,,,
core_005,Bicycle Crunch,obliques|rectus_abdominis,,beginner,home|hotel|gym,,,
core_006,Russian Twist,obliques,,beginner,home|hotel|gym,,,
core_007,Ab Rollout,rectus_abdominis|transverse_abdominis,ab_wheel,intermediate,gym,,,acute_lower_back_pain
core_008,Pallof Press,transverse_abdominis|obliques,cable_machine_or_resistance_band,beginner,gym|home,,,
core_009,Side Plank,quadratus_lumborum|obliques,,beginner,home|hotel|gym|elderly|rehabilitation,,McGill Big 3,
core_010,Hanging Knee Raise,rectus_abdominis|hip_flexors,pull_up_bar,intermediate,gym|outdoor,,,
